title,year,genre,rating,director
The Matrix,1999,Sci-Fi,8.7,Lana Wachowski
Inception,2010,Sci-Fi,8.8,Christopher Nolan
Spirited Away,2001,Animation,8.6,Hayao Miyazaki
Parasite,2019,Thriller,8.5,Bong Joon Ho
The Godfather,1972,Crime,9.2,Francis Ford Coppola
Pulp Fiction,1994,Crime,8.9,Quentin Tarantino
Interstellar,2014,Sci-Fi,8.7,Christopher Nolan
Everything Everywhere All at Once,2022,Sci-Fi,7.8,Daniel Kwan
The Grand Budapest Hotel,2014,Comedy,8.1,Wes Anderson
Pan's Labyrinth,2006,Fantasy,8.2,Guillermo del Toro
Your Name,2016,Animation,8.4,Makoto Shinkai
The Dark Knight,2008,Action,9.0,Christopher Nolan
Seven Samurai,1954,Drama,8.6,Akira Kurosawa
Mad Max: Fury Road,2015,Action,8.1,George Miller
"Good Morning, Vietnam",1987,Comedy,7.3,Barry Levinson
